gattungsbezeichnung,gtfs_route_type
"AG",1
"ALS",2
"ALV",4
"ARC",2
"ARZ",1
"ATR",2
"ATZ",1
"AVA",4
"AVE",2
"BAT",4
"BAV",4
"BEX",2
"BUS",3
"CAT",2
"CNL",2
"D",2
"E",1
"EC",2
"EM",2
"EN",2
"ES",2
"EST",2
"EXB",3
"EXT",1
"FAE",4
"FUN",6
"FYR",2
"GB",6
"GEX",2
"IC",2
"ICE",2
"ICN",2
"IN",2
"IR",2
"IRE",2
"JAT",1
"KAT",4
"KB",3
"KUT",3
"LB",6
"M",0
"MP",0
"NFB",3
"NFO",3
"NFT",0
"NZ",2
"OEC",2
"OIC",2
"P",1
"R",2
"RB",2
"RE",2
"RJ",2
"RSB",1
"S",1
"SB",1
"SL",6
"SN",1
"STB",1
"SZ",1
"T",0
"TAL",2
"TGV",2
"THA",2
"TLK",2
"TRO",3
"TX",3
"UEX",1
"UUU",2
"VAE",2
"WB",1
"X",2
"X2",2
"ZUG",1
